"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","18-Oct-2023","218.55","219.59","219.59","216.92","217.10","217.20","217.86","17,61,105","38,36,70,275.21","22,855","13,95,656","79.25"
"NIFTYBEES","EQ","19-Oct-2023","217.20","220.50","223.70","210.70","216.65","216.67","216.51","21,93,608","47,49,40,508.25","26,852","15,38,842","70.15"
"NIFTYBEES","EQ","20-Oct-2023","216.67","219.70","219.70","213.65","216.01","215.30","215.72","26,42,139","56,99,55,813.52","25,700","16,61,186","62.87"
"NIFTYBEES","EQ","23-Oct-2023","215.30","221.75","221.75","212.65","214.00","213.17","214.19","44,73,325","95,81,22,416.41","53,851","37,18,744","83.13"
"NIFTYBEES","EQ","25-Oct-2023","213.17","215.00","216.60","210.95","211.73","211.48","212.32","66,26,525","1,40,69,13,574.31","69,198","55,49,054","83.74"
"NIFTYBEES","EQ","26-Oct-2023","211.48","213.00","214.49","208.36","208.96","208.74","209.00","1,13,42,653","2,37,05,96,790.86","99,195","99,73,511","87.93"
"NIFTYBEES","EQ","27-Oct-2023","208.74","210.49","215.00","208.50","210.82","210.57","210.23","40,91,227","86,01,14,683.48","33,326","28,69,845","70.15"
"NIFTYBEES","EQ","30-Oct-2023","210.57","211.40","211.99","209.41","211.80","211.52","210.73","29,18,057","61,49,10,098.03","34,673","16,73,854","57.36"
"NIFTYBEES","EQ","31-Oct-2023","211.52","212.00","214.00","210.70","211.10","210.98","211.25","29,51,982","62,36,05,983.77","24,649","18,59,290","62.98"
"NIFTYBEES","EQ","01-Nov-2023","210.98","213.95","213.95","209.58","210.05","209.99","210.40","29,99,324","63,10,46,796.50","46,036","26,19,277","87.33"
"NIFTYBEES","EQ","02-Nov-2023","209.99","213.99","213.99","210.00","211.99","211.64","211.44","30,51,034","64,51,14,448.40","26,627","24,94,626","81.76"
"NIFTYBEES","EQ","03-Nov-2023","211.64","212.26","213.77","212.05","212.65","212.69","212.85","19,92,691","42,41,38,815.93","21,971","12,39,268","62.19"
"NIFTYBEES","EQ","06-Nov-2023","212.69","218.70","218.70","212.10","214.60","214.56","214.01","21,67,020","46,37,74,296.16","45,573","13,52,531","62.41"
"NIFTYBEES","EQ","07-Nov-2023","214.56","215.24","215.25","212.78","214.60","214.49","214.18","15,97,162","34,20,74,663.11","21,570","11,53,507","72.22"
"NIFTYBEES","EQ","08-Nov-2023","214.49","215.00","215.20","213.81","214.90","214.83","214.88","23,92,335","51,40,55,586.90","22,566","17,25,924","72.14"
"NIFTYBEES","EQ","09-Nov-2023","214.83","215.99","217.00","214.03","214.34","214.30","214.59","28,42,726","61,00,07,090.58","18,914","23,82,189","83.80"
"NIFTYBEES","EQ","10-Nov-2023","214.30","214.99","214.99","213.25","214.60","214.24","214.04","32,87,453","70,36,42,211.86","26,114","26,72,670","81.30"
